Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
39,0.4533,0.4535,0.7879,0.7908,0.864,0.8673,0.7634,0.7939,0.7974,0.7897,0.8346,0.7855,0.8338,0.8317,0.8338,0.8318
40,0.4666,0.4444,0.7786,0.794,0.8552,0.8693,0.7558,0.7687,0.788,0.8033,0.8231,0.8411,0.8264,0.8351,0.8264,0.8352
41,0.4526,0.4415,0.7865,0.7913,0.8644,0.8717,0.7618,0.7547,0.7961,0.8053,0.8337,0.8631,0.8361,0.8401,0.8361,0.8402
42,0.451,0.4323,0.7894,0.8061,0.8656,0.8772,0.7635,0.7721,0.7992,0.8176,0.8384,0.8686,0.8367,0.8411,0.8367,0.8412
43,0.4484,0.445,0.7898,0.7944,0.8667,0.8721,0.7647,0.7496,0.7993,0.8113,0.8372,0.8841,0.8373,0.8366,0.8373,0.8367
44,0.4494,0.4354,0.7897,0.7991,0.8659,0.8765,0.7635,0.7615,0.7997,0.8126,0.8394,0.8711,0.8357,0.844,0.8357,0.844
45,0.4463,0.4368,0.7924,0.7994,0.868,0.8735,0.7672,0.7632,0.8017,0.8123,0.8396,0.8682,0.8376,0.8397,0.8376,0.8397
46,0.4488,0.4259,0.7889,0.8065,0.8661,0.8806,0.7625,0.7762,0.799,0.8165,0.8391,0.8614,0.837,0.8451,0.837,0.8452
47,0.4464,0.4358,0.7909,0.8016,0.8678,0.8756,0.7648,0.7729,0.8008,0.8116,0.8402,0.8543,0.8387,0.8397,0.8388,0.8398
48,0.4436,0.4344,0.7922,0.8005,0.8698,0.8741,0.767,0.7617,0.8016,0.8143,0.8394,0.8748,0.8418,0.8391,0.8418,0.8391
49,0.4443,0.4384,0.7923,0.8016,0.8694,0.8743,0.766,0.7905,0.8021,0.8054,0.8417,0.8208,0.8414,0.8395,0.8414,0.8396
50,0.4489,0.4328,0.7898,0.8064,0.8669,0.8795,0.7649,0.8011,0.7992,0.808,0.8369,0.8151,0.8386,0.8464,0.8386,0.8465
51,0.4425,0.4392,0.794,0.803,0.8707,0.8753,0.7682,0.7994,0.8035,0.8041,0.8422,0.8089,0.8415,0.841,0.8415,0.8411
52,0.4415,0.4228,0.7943,0.8104,0.8709,0.8818,0.7684,0.775,0.8038,0.8219,0.8427,0.8748,0.8432,0.8476,0.8432,0.8477
53,0.4404,0.4411,0.7943,0.7988,0.871,0.8722,0.7684,0.7582,0.8038,0.8134,0.8425,0.8772,0.8424,0.8389,0.8424,0.8389
54,0.4383,0.4326,0.7945,0.8028,0.8729,0.8809,0.7683,0.7539,0.804,0.8202,0.8431,0.8993,0.8452,0.8473,0.8452,0.8474
55,0.4383,0.4246,0.7966,0.8098,0.8727,0.8812,0.7698,0.7874,0.8063,0.8169,0.8463,0.8488,0.844,0.8455,0.844,0.8456
56,0.439,0.427,0.7946,0.8044,0.8725,0.8801,0.7686,0.7828,0.804,0.8116,0.8428,0.8426,0.8453,0.8464,0.8453,0.8466
57,0.4405,0.4368,0.7954,0.7994,0.8719,0.8814,0.7701,0.7446,0.8046,0.8196,0.8423,0.9114,0.8452,0.8475,0.8452,0.8476
58,0.441,0.4295,0.7945,0.8047,0.8715,0.8796,0.7685,0.7852,0.8041,0.8112,0.8431,0.8389,0.8434,0.8446,0.8434,0.8447
59,0.4371,0.4256,0.7959,0.8069,0.8736,0.8814,0.7701,0.7905,0.8052,0.8122,0.8436,0.8351,0.8463,0.8445,0.8463,0.8446
60,0.4368,0.4299,0.7966,0.8063,0.874,0.8814,0.7709,0.8065,0.8058,0.8062,0.844,0.8058,0.8451,0.8446,0.8451,0.8447
61,0.4322,0.4262,0.8006,0.8081,0.8766,0.8814,0.7754,0.7926,0.8093,0.8131,0.8463,0.8347,0.8474,0.8474,0.8474,0.8475
62,0.4333,0.4212,0.8021,0.8082,0.8755,0.8834,0.7749,0.7755,0.8115,0.819,0.8516,0.8678,0.8471,0.849,0.8471,0.8491
63,0.4328,0.4328,0.8003,0.8047,0.876,0.8786,0.7739,0.7993,0.8095,0.8065,0.8486,0.8138,0.848,0.8442,0.848,0.8443
64,0.4313,0.4202,0.7992,0.8111,0.8767,0.8828,0.7719,0.7865,0.8088,0.8189,0.8494,0.8541,0.8484,0.8486,0.8484,0.8487
65,0.4339,0.4251,0.7986,0.8061,0.8751,0.8811,0.7718,0.7835,0.8081,0.8136,0.8479,0.8462,0.8479,0.8457,0.8479,0.8458
66,0.433,0.4264,0.7991,0.8076,0.8762,0.8805,0.7733,0.7794,0.8082,0.8168,0.8463,0.8581,0.848,0.8439,0.848,0.844
67,0.4305,0.4207,0.8011,0.8093,0.8774,0.8835,0.7747,0.7724,0.8102,0.8215,0.849,0.8772,0.8495,0.8499,0.8495,0.85
68,0.4272,0.4218,0.8022,0.8133,0.8788,0.8842,0.7757,0.7839,0.8113,0.8225,0.8502,0.8651,0.8513,0.8493,0.8513,0.8495
69,0.4321,0.4183,0.8005,0.8099,0.8763,0.8837,0.7734,0.7746,0.8099,0.8214,0.8499,0.8741,0.8479,0.8493,0.8479,0.8494
70,0.4247,0.4183,0.8046,0.8091,0.8808,0.886,0.7769,0.7678,0.8139,0.8228,0.8545,0.8863,0.8534,0.852,0.8534,0.8521
71,0.4131,0.4094,0.8108,0.8156,0.8868,0.8894,0.7824,0.7816,0.8198,0.8261,0.861,0.8761,0.8612,0.8536,0.8612,0.8536
72,0.4111,0.4171,0.811,0.812,0.8881,0.8914,0.7828,0.7597,0.82,0.8292,0.861,0.9127,0.862,0.8578,0.862,0.8579
73,0.4036,0.4075,0.8173,0.8166,0.8923,0.8911,0.7889,0.7743,0.8258,0.8298,0.8664,0.8938,0.8654,0.8566,0.8654,0.8566
74,0.4041,0.4157,0.8169,0.8129,0.8919,0.8897,0.7892,0.7664,0.8253,0.8279,0.8649,0.9002,0.8647,0.8551,0.8648,0.8552
75,0.4042,0.4051,0.8149,0.8203,0.8921,0.8919,0.7861,0.7937,0.8237,0.828,0.8651,0.8655,0.8672,0.8577,0.8672,0.8578
76,0.402,0.4047,0.8172,0.8221,0.893,0.892,0.7894,0.7882,0.8256,0.832,0.8651,0.881,0.8665,0.8554,0.8665,0.8555
77,0.4011,0.4059,0.8183,0.8218,0.894,0.8928,0.79,0.7839,0.8267,0.8329,0.867,0.8885,0.8686,0.8576,0.8686,0.8576
78,0.4,0.4083,0.8193,0.8194,0.894,0.891,0.7904,0.7882,0.8279,0.8286,0.8692,0.8735,0.8689,0.8558,0.8689,0.8559
79,0.4,0.4069,0.8177,0.8153,0.8939,0.8934,0.79,0.7706,0.826,0.8294,0.8656,0.898,0.8688,0.8605,0.8688,0.8606
80,0.4019,0.4064,0.8174,0.8206,0.8931,0.8917,0.7884,0.7847,0.8261,0.8312,0.8676,0.8836,0.8673,0.8584,0.8673,0.8585
81,0.403,0.4043,0.8169,0.8198,0.8926,0.8924,0.7893,0.7998,0.8252,0.8256,0.8646,0.8532,0.8681,0.8586,0.8681,0.8587
82,0.3982,0.4046,0.82,0.8194,0.8953,0.8931,0.7918,0.7841,0.8283,0.8299,0.8684,0.8814,0.8715,0.8577,0.8715,0.8578
83,0.3973,0.4093,0.8195,0.8146,0.8952,0.889,0.7913,0.7705,0.8279,0.8286,0.868,0.8962,0.8712,0.8519,0.8712,0.852
84,0.3969,0.4102,0.8196,0.8185,0.8962,0.8893,0.7899,0.796,0.8284,0.8251,0.8708,0.8565,0.8727,0.8535,0.8727,0.8536
85,0.4035,0.398,0.8161,0.8226,0.8924,0.8945,0.7886,0.7926,0.8244,0.8312,0.8636,0.8737,0.8688,0.8594,0.8688,0.8595
86,0.3963,0.4031,0.8214,0.8181,0.8962,0.8936,0.793,0.7957,0.8297,0.8247,0.87,0.8559,0.8709,0.8599,0.8709,0.8599
87,0.395,0.4088,0.8216,0.8189,0.8968,0.8919,0.7936,0.7941,0.8297,0.8263,0.8691,0.8611,0.8719,0.8557,0.8719,0.8558
88,0.3958,0.4128,0.8199,0.8131,0.8965,0.8907,0.7924,0.7662,0.8281,0.8282,0.8671,0.9013,0.872,0.8551,0.872,0.8552
89,0.3953,0.4037,0.8193,0.8201,0.8963,0.8933,0.7915,0.7834,0.8275,0.8311,0.8669,0.8849,0.8727,0.8582,0.8727,0.8583
90,0.394,0.4048,0.82,0.8174,0.8977,0.8919,0.7914,0.7773,0.8285,0.8297,0.8691,0.8896,0.8754,0.8574,0.8754,0.8575
91,0.3952,0.4032,0.8204,0.819,0.8967,0.8919,0.7926,0.7952,0.8286,0.8261,0.868,0.8594,0.8737,0.859,0.8737,0.8591
92,0.3948,0.4081,0.821,0.8222,0.897,0.8926,0.7933,0.7799,0.829,0.8348,0.868,0.898,0.8734,0.8566,0.8734,0.8567
93,0.3919,0.4239,0.8236,0.8078,0.8988,0.8905,0.7956,0.7481,0.8316,0.8284,0.871,0.9281,0.8751,0.8554,0.8751,0.8555
94,0.3946,0.4016,0.8217,0.8218,0.8972,0.8938,0.7926,0.7977,0.8302,0.8287,0.8715,0.8622,0.8736,0.8584,0.8736,0.8585
95,0.396,0.4039,0.8197,0.8227,0.8964,0.8928,0.7917,0.7856,0.828,0.8335,0.8678,0.8876,0.872,0.857,0.872,0.8571
96,0.3955,0.4028,0.819,0.8204,0.8959,0.8944,0.7905,0.8105,0.8274,0.8232,0.8679,0.8362,0.8726,0.862,0.8726,0.862
97,0.3922,0.4026,0.8215,0.8221,0.8983,0.8941,0.7943,0.7929,0.8293,0.8306,0.8677,0.8719,0.8746,0.8597,0.8746,0.8599
98,0.4054,0.4051,0.8169,0.8166,0.892,0.8942,0.7883,0.7699,0.8255,0.8312,0.8664,0.9032,0.8684,0.8597,0.8684,0.8598
99,0.3948,0.4057,0.8222,0.8193,0.8972,0.8921,0.7934,0.786,0.8305,0.8292,0.8712,0.8775,0.8739,0.8564,0.8739,0.8565
100,0.3909,0.4082,0.8236,0.8146,0.8991,0.8935,0.7958,0.7689,0.8315,0.8292,0.8705,0.8997,0.8755,0.8601,0.8755,0.8602
101,0.3915,0.4025,0.823,0.8227,0.8987,0.8943,0.7946,0.7909,0.8312,0.8319,0.8713,0.8772,0.8754,0.8595,0.8754,0.8595
102,0.3926,0.4051,0.8218,0.8169,0.8982,0.8927,0.7927,0.7943,0.8303,0.8237,0.8715,0.8554,0.8749,0.8588,0.8749,0.859
103,0.3889,0.4025,0.8236,0.8209,0.8998,0.894,0.7953,0.7961,0.8316,0.8281,0.8715,0.8629,0.8774,0.8605,0.8774,0.8605
104,0.3919,0.4042,0.8228,0.8212,0.8987,0.8932,0.7949,0.786,0.8308,0.8316,0.8701,0.883,0.8765,0.8574,0.8765,0.8574
105,0.3891,0.4126,0.8239,0.8178,0.8999,0.8944,0.7959,0.8227,0.8318,0.8164,0.8711,0.8102,0.8778,0.86,0.8778,0.8602
106,0.39,0.401,0.8234,0.8225,0.8995,0.8953,0.7959,0.7921,0.8313,0.8312,0.87,0.8744,0.8771,0.8616,0.8771,0.8616
107,0.3909,0.4,0.8232,0.8238,0.899,0.894,0.7951,0.795,0.8313,0.832,0.8709,0.8726,0.8763,0.8581,0.8763,0.8581
108,0.3852,0.3987,0.8259,0.8226,0.9021,0.8957,0.796,0.7894,0.8342,0.8322,0.8763,0.8799,0.88,0.8608,0.88,0.8608
109,0.3863,0.3966,0.8257,0.8255,0.9015,0.8972,0.7967,0.7984,0.8338,0.8331,0.8746,0.8711,0.879,0.8639,0.879,0.864
110,0.3865,0.4015,0.8262,0.8231,0.9008,0.8935,0.798,0.8005,0.8341,0.8295,0.8736,0.8607,0.8772,0.8598,0.8772,0.8599
111,0.3863,0.3975,0.8256,0.8233,0.9019,0.8967,0.7969,0.7915,0.8336,0.8325,0.8739,0.8779,0.8793,0.8629,0.8793,0.863
112,0.3866,0.4009,0.8269,0.8229,0.9016,0.8971,0.7981,0.8186,0.8348,0.8241,0.875,0.8296,0.8795,0.8636,0.8795,0.8637
113,0.3855,0.4005,0.8255,0.8244,0.9022,0.895,0.7977,0.7994,0.8333,0.8315,0.8722,0.8662,0.8811,0.8614,0.8811,0.8615
