Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
39,0.4011,0.3788,0.8203,0.8358,0.8942,0.9071,0.7905,0.8037,0.829,0.844,0.8714,0.8885,0.8701,0.8819,0.8701,0.8819
40,0.3982,0.381,0.8215,0.8344,0.8956,0.9072,0.7921,0.8106,0.83,0.8406,0.8719,0.8729,0.8717,0.8816,0.8717,0.8816
41,0.3973,0.386,0.8231,0.8338,0.8964,0.9054,0.7935,0.796,0.8316,0.8438,0.8735,0.8978,0.8716,0.8796,0.8716,0.8796
42,0.3963,0.3807,0.8248,0.8385,0.8968,0.9088,0.7949,0.7913,0.8333,0.8506,0.8754,0.9194,0.8724,0.8838,0.8724,0.8838
43,0.3944,0.3787,0.8251,0.8371,0.8979,0.909,0.7949,0.7938,0.8336,0.8483,0.8762,0.9107,0.8736,0.8823,0.8736,0.8824
44,0.3926,0.3782,0.8268,0.8395,0.899,0.9094,0.7969,0.7995,0.8351,0.8495,0.8772,0.9062,0.8744,0.8828,0.8744,0.8828
45,0.3902,0.3698,0.8282,0.8424,0.8999,0.9104,0.7977,0.8142,0.8366,0.8491,0.8795,0.8873,0.8755,0.885,0.8755,0.8851
46,0.3891,0.3764,0.8287,0.8383,0.9005,0.9086,0.7987,0.796,0.8369,0.849,0.8788,0.9096,0.8767,0.8833,0.8767,0.8833
47,0.3866,0.3705,0.8294,0.8426,0.9017,0.9116,0.7989,0.8129,0.8376,0.8497,0.8804,0.89,0.8779,0.8867,0.8779,0.8867
48,0.3873,0.3749,0.829,0.8426,0.9013,0.9104,0.7985,0.8003,0.8373,0.853,0.88,0.9131,0.8769,0.8845,0.8769,0.8846
49,0.3862,0.3713,0.8297,0.8434,0.9023,0.9125,0.7998,0.7994,0.8378,0.8541,0.8796,0.9168,0.8787,0.8877,0.8787,0.8877
50,0.3864,0.3718,0.8291,0.8402,0.9016,0.9107,0.7991,0.8167,0.8373,0.846,0.8793,0.8775,0.8776,0.8863,0.8776,0.8863
51,0.3837,0.3625,0.8306,0.8431,0.9031,0.9129,0.7997,0.812,0.8389,0.8506,0.882,0.893,0.8794,0.8876,0.8794,0.8876
52,0.3804,0.3692,0.8326,0.8436,0.9047,0.9132,0.8024,0.8203,0.8406,0.8491,0.8826,0.8799,0.8809,0.888,0.8809,0.888
53,0.3794,0.3733,0.8334,0.8446,0.9052,0.9126,0.803,0.8063,0.8414,0.8537,0.8837,0.9071,0.8821,0.888,0.8821,0.888
54,0.3797,0.3581,0.8339,0.8457,0.9056,0.9155,0.8035,0.8097,0.8418,0.8542,0.8839,0.9038,0.8825,0.8911,0.8825,0.8911
55,0.3781,0.3627,0.8343,0.8495,0.9061,0.9153,0.8039,0.8084,0.8421,0.8589,0.8842,0.9161,0.883,0.8911,0.883,0.8911
56,0.3762,0.3579,0.8359,0.8486,0.9071,0.9162,0.8057,0.8204,0.8436,0.855,0.8853,0.8926,0.8836,0.8923,0.8836,0.8923
57,0.3759,0.3669,0.8364,0.8447,0.9075,0.9149,0.8061,0.8214,0.8441,0.8502,0.886,0.881,0.8844,0.8898,0.8844,0.8898
58,0.3735,0.3652,0.8372,0.843,0.9083,0.9143,0.8067,0.8165,0.8449,0.8493,0.887,0.8848,0.8849,0.8912,0.8849,0.8912
59,0.3736,0.363,0.8376,0.8469,0.9084,0.9134,0.8077,0.8143,0.8451,0.8545,0.886,0.8988,0.8857,0.8872,0.8857,0.8872
60,0.3714,0.3609,0.8377,0.8478,0.9094,0.916,0.8073,0.8126,0.8453,0.8559,0.8872,0.904,0.8865,0.8929,0.8865,0.8929
61,0.3707,0.3622,0.8387,0.8468,0.9095,0.9167,0.8083,0.8085,0.8463,0.8558,0.8881,0.9088,0.8862,0.8932,0.8862,0.8932
62,0.3703,0.36,0.8392,0.8496,0.9102,0.9169,0.809,0.8113,0.8466,0.8583,0.8879,0.9111,0.8876,0.893,0.8876,0.893
63,0.369,0.3528,0.8405,0.8519,0.9106,0.9195,0.809,0.8247,0.8483,0.8579,0.8915,0.8938,0.8875,0.8946,0.8875,0.8946
64,0.3698,0.3576,0.8389,0.8525,0.9104,0.9189,0.8085,0.8176,0.8465,0.8602,0.8882,0.9076,0.8883,0.894,0.8883,0.894
